Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch,HUA_clinecenter_21D,HUA_clinecenter_50D,HUA_clinecenter_100D,HUA_clinecenter_200D,SBUX_clinecenter_21D,SBUX_clinecenter_50D,SBUX_clinecenter_100D,SBUX_clinecenter_200D,TIK_clinecenter_21D,TIK_clinecenter_50D,TIK_clinecenter_100D,TIK_clinecenter_200D,HUA_brandwatch_21D,HUA_brandwatch_50D,HUA_brandwatch_100D,HUA_brandwatch_200D,SBUX_brandwatch_21D,SBUX_brandwatch_50D,SBUX_brandwatch_100D,SBUX_brandwatch_200D,TIK_brandwatch_21D,TIK_brandwatch_50D,TIK_brandwatch_100D,TIK_brandwatch_200D
2020-09-15,2.429,4.167,2.655,0.359,-2.495,0.849,1.025,0.890,0.747,-0.246,2.507,1.465,1.433,0.674,1.279,1.128,1.298,1.116,-0.487,-1.231,-1.153,-1.244,-0.667,-0.306,-0.155,-0.309,0.894,1.340,0.509,0.567
2020-09-15,2.429,4.167,2.655,0.359,-2.495,0.849,0.977,0.842,0.713,-0.268,2.285,1.458,1.410,0.654,1.268,1.086,1.269,1.110,-0.566,-1.242,-1.166,-1.258,-0.522,-0.266,-0.138,-0.294,0.968,1.335,0.520,0.569
2020-09-15,2.429,4.167,2.655,0.359,-2.495,0.849,1.025,0.890,0.747,-0.246,2.507,1.465,1.433,0.674,1.279,1.128,1.298,1.116,-0.487,-1.231,-1.153,-1.244,-0.667,-0.306,-0.155,-0.309,0.894,1.340,0.509,0.567
2020-09-15,2.429,4.167,2.655,0.359,-2.495,0.849,0.977,0.842,0.713,-0.268,2.285,1.458,1.410,0.654,1.268,1.086,1.269,1.110,-0.566,-1.242,-1.166,-1.258,-0.522,-0.266,-0.138,-0.294,0.968,1.335,0.520,0.569
2020-09-14,2.812,1.500,2.266,-0.927,-0.065,0.819,0.896,0.793,0.679,-0.295,2.129,1.451,1.387,0.638,1.199,1.043,1.240,1.109,-0.645,-1.254,-1.179,-1.267,-0.346,-0.225,-0.120,-0.284,0.982,1.330,0.531,0.572
2020-09-14,2.812,1.500,2.266,-0.927,-0.065,0.819,0.796,0.731,0.651,-0.306,2.101,1.477,1.384,0.643,1.148,1.009,1.231,1.110,-0.664,-1.229,-1.182,-1.265,-0.285,-0.246,-0.140,-0.280,0.997,1.335,0.523,0.570
2020-09-14,2.812,1.500,2.266,-0.927,-0.065,0.819,0.896,0.793,0.679,-0.295,2.129,1.451,1.387,0.638,1.199,1.043,1.240,1.109,-0.645,-1.254,-1.179,-1.267,-0.346,-0.225,-0.120,-0.284,0.982,1.330,0.531,0.572
2020-09-14,2.812,1.500,2.266,-0.927,-0.065,0.819,0.796,0.731,0.651,-0.306,2.101,1.477,1.384,0.643,1.148,1.009,1.231,1.110,-0.664,-1.229,-1.182,-1.265,-0.285,-0.246,-0.140,-0.280,0.997,1.335,0.523,0.570
2020-09-13,1.585,2.143,3.264,-1.272,-1.786,1.595,0.698,0.669,0.623,-0.321,2.132,1.502,1.380,0.640,1.065,0.975,1.222,1.109,-0.687,-1.204,-1.184,-1.273,-0.315,-0.267,-0.160,-0.280,0.953,1.339,0.515,0.572
2020-09-13,1.585,2.143,3.264,-1.272,-1.786,1.595,0.658,0.649,0.590,-0.334,2.132,1.516,1.367,0.627,0.934,0.933,1.194,1.097,-0.695,-1.198,-1.193,-1.277,-0.263,-0.255,-0.155,-0.273,0.872,1.308,0.508,0.571
2020-09-13,1.585,2.143,3.264,-1.272,-1.786,1.595,0.698,0.669,0.623,-0.321,2.132,1.502,1.380,0.640,1.065,0.975,1.222,1.109,-0.687,-1.204,-1.184,-1.273,-0.315,-0.267,-0.160,-0.280,0.953,1.339,0.515,0.572
2020-09-13,1.585,2.143,3.264,-1.272,-1.786,1.595,0.658,0.649,0.590,-0.334,2.132,1.516,1.367,0.627,0.934,0.933,1.194,1.097,-0.695,-1.198,-1.193,-1.277,-0.263,-0.255,-0.155,-0.273,0.872,1.308,0.508,0.571
2020-09-12,-2.333,3.125,0.957,-1.128,-1.659,1.075,0.582,0.629,0.558,-0.344,2.056,1.530,1.354,0.620,0.811,0.891,1.167,1.087,-0.701,-1.192,-1.202,-1.283,-0.210,-0.242,-0.150,-0.273,0.838,1.276,0.500,0.567
2020-09-12,-2.333,3.125,0.957,-1.128,-1.659,1.075,0.693,0.654,0.570,-0.334,1.934,1.452,1.338,0.609,0.798,0.903,1.167,1.088,-0.714,-1.234,-1.198,-1.294,-0.164,-0.158,-0.132,-0.268,0.829,1.267,0.490,0.560
2020-09-12,-2.333,3.125,0.957,-1.128,-1.659,1.076,0.582,0.629,0.558,-0.344,2.056,1.530,1.354,0.620,0.811,0.891,1.167,1.087,-0.701,-1.192,-1.202,-1.283,-0.210,-0.242,-0.150,-0.273,0.838,1.276,0.500,0.567
2020-09-12,-2.333,3.125,0.957,-1.128,-1.659,1.076,0.693,0.654,0.570,-0.334,1.934,1.452,1.338,0.609,0.798,0.903,1.167,1.088,-0.714,-1.234,-1.198,-1.294,-0.164,-0.158,-0.132,-0.268,0.829,1.267,0.490,0.560
2020-09-11,1.111,3.421,2.188,0.664,-1.913,0.595,0.876,0.680,0.583,-0.322,1.941,1.374,1.322,0.611,0.819,0.915,1.166,1.090,-0.678,-1.276,-1.194,-1.304,-0.128,-0.073,-0.114,-0.263,0.883,1.258,0.480,0.556
2020-09-11,1.111,3.421,2.188,0.664,-1.913,0.595,0.896,0.669,0.561,-0.336,1.934,1.316,1.286,0.589,0.781,0.907,1.149,1.094,-0.728,-1.372,-1.212,-1.324,-0.081,-0.029,-0.096,-0.256,0.960,1.234,0.476,0.556
2020-09-11,1.111,3.421,2.188,0.664,-1.913,0.595,0.876,0.680,0.583,-0.322,1.941,1.374,1.322,0.611,0.819,0.915,1.166,1.090,-0.678,-1.276,-1.194,-1.304,-0.128,-0.073,-0.114,-0.263,0.883,1.258,0.480,0.556
2020-09-11,1.111,3.421,2.188,0.664,-1.913,0.595,0.896,0.669,0.561,-0.336,1.934,1.316,1.286,0.589,0.781,0.907,1.149,1.094,-0.728,-1.372,-1.212,-1.324,-0.081,-0.029,-0.096,-0.256,0.960,1.234,0.476,0.556
